PARK_NAME,PARK_STATUS,PARK_TYPE,SUB_TYPE,AREA_HECTARES,EXISTING_PARK_NO,CONSTRUCTED_YEAR,ACCESS_POINTS,COMPKEY,OBJECTID,Shape__Area,Shape__Length
GREENMOUNT PARK NORTH,ACTIVE,ENVIRONMENTAL PARKS,LINK,2.254,320,1975,"GREENMOUNT RD, CENTRAL PARK DR, GLENVALE BLVD, GAILWOOD CRT",138286,668,43223.0625,2156.29522823294
WHITE SPRUCE VALLEY,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,9.277,227,1996,"SANDALWOOD PKWY E, ESKER  DR, FORESTGROVE CL",138799,669,177869.546875,2588.14309428248
SHUTER PARKETTE,ACTIVE,ENVIRONMENTAL PARKS,LINK,0.115,638,2004,"CHURCHVILLE RD,SHUTER LANE",207643,670,2198.890625,385.84902467756
SHEFFIELD PARK EAST,ACTIVE,ENVIRONMENTAL PARKS,LINK,0.408,553,1980,"BOVAIRD DR E, HINCHLEY WOOD GR, DAWSON CRES, COLLINS CRES",199572,671,7816.6953125,454.148809156096
PATRICK TRAINOR PARK,ACTIVE,NEIGHBOURHOOD PARKS,PARKETTE,0.5,925,,"MINISTER RD, JAYPEAK RD, JOHN CARROLL DR",220864,672,9599.26171875,392.511083440651
EVERGLADE VALLEY,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,34,362,1984,"EDGEFOREST DR, GRAFTON CRES, FENTON WAY",138095,673,653228.76171875,6736.04934646126
CONSERVATION DRIVE PARK,ACTIVE,CONSERVATION AUTHORITY-OWNED LANDS(CITY MAINTAINED),CONSERVATION AREA,50.748,117,1992,"VALLEYVIEW RD, MAYFIELD RD,RAVENSCROFT CIR",138136,674,972809.5703125,7164.39970942491
RAY LAWSON VALLEY,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,14.71,111,1990,"RAY LAWSON BV, MALTA AV, NEW LONDON CT, PARSONBY CT, BERKINDALE CT",138524,675,281266.44140625,3737.27432594722
GORE MEADOWS COMMUNITY PARK - WEST,ACTIVE,COMMUNITY PARKS,OPEN SPACE,43.753,699,,"MCVEAN DR, CASTLEMORE RD",176448,676,840237.34765625,6071.32962357412
SUMMER VALLEY POND,ACTIVE,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.631,1518,1994,"SUMMER VALLEY DR, MAYFIELD RD, THORNDALE RD",138722,677,31264.3984375,909.495597604374
HAZELWOOD PARKETTE,ACTIVE,NEIGHBOURHOOD PARKS,PARKETTE,0.141,259,1975,"HAZELWOOD CRT, HAZELWOOD DR",138301,678,2693.6640625,216.746450561622
SNOWCAP PARK,ACTIVE,NEIGHBOURHOOD PARKS,PARKETTE,1.925,344,1999,"SNOWCAP RD, SNOW LEOPARD CT",138698,679,36934.84765625,1001.62980594463
LORENVILLE PARK,ACTIVE,NEIGHBOURHOOD PARKS,PARKETTE,0.792,651,2012,"LORENVILLE DR, LAMPMAN CRES, LOUISBURG CRES",205122,680,15152.234375,501.319560344175
MICHAEL MURPHY PARK,ACTIVE,NEIGHBOURHOOD PARKS,TOWN SQUARE,2.025,932,2016,"DINOSAUR ST, MARTIN BYRNE DR, SQUIRE ELLIS DR,LANDVIEW RD",200765,681,38911.4765625,765.767065825567
